strain	date	country	continent
PQ168396.1	2024-03-11	Brazil	South America
PQ168397.1	2024-03-11	Brazil	South America
PQ168398.1	2024-03-11	Brazil	South America
PQ168399.1	2024-03-14	Brazil	South America
PQ168400.1	2024-03-14	Brazil	South America
PQ168401.1	2024-03-14	Brazil	South America
PQ168402.1	2024-03-10	Brazil	South America
PQ168403.1	2024-03-14	Brazil	South America
PQ168404.1	2024-03-17	Brazil	South America
PQ168405.1	2024-03-18	Brazil	South America
PQ168406.1	2024-03-18	Brazil	South America
PQ168407.1	2024-03-18	Brazil	South America
PQ168408.1	2024-03-18	Brazil	South America
PQ168409.1	2024-03-20	Brazil	South America
PQ168410.1	2024-03-19	Brazil	South America
PQ168411.1	2024-03-18	Brazil	South America
PQ168412.1	2024-03-19	Brazil	South America
PQ168413.1	2024-03-20	Brazil	South America
PQ168414.1	2024-03-19	Brazil	South America
PQ168415.1	2024-03-20	Brazil	South America
PQ168416.1	2024-03-20	Brazil	South America
PQ168417.1	2024-04-03	Brazil	South America
PQ168418.1	2024-04-09	Brazil	South America
PQ168419.1	2024-04-09	Brazil	South America
PQ168420.1	2024-04-10	Brazil	South America
PQ168421.1	2024-04-16	Brazil	South America
PQ168422.1	2024-04-17	Brazil	South America
PQ168423.1	2024-04-23	Brazil	South America
PQ168424.1	2024-04-24	Brazil	South America
PQ168425.1	2024-04-24	Brazil	South America
PQ168426.1	2024-04-25	Brazil	South America
PQ168427.1	2024-04-25	Brazil	South America
PQ168428.1	2024-04-24	Brazil	South America
PQ168429.1	2024-04-25	Brazil	South America
PQ185968.1	2024-04-22	Brazil	South America
PQ185969.1	2024-04-25	Brazil	South America
PQ189424.1	2024-04-17	Brazil	South America
PQ189425.1	2024-04-25	Brazil	South America
PQ189426.1	2024-05-09	Brazil	South America
PQ189427.1	2024-05-16	Brazil	South America
PQ189428.1	2024-05-17	Brazil	South America
PQ189429.1	2024-05-27	Brazil	South America
PQ189430.1	2024-06-04	Brazil	South America
PQ189431.1	2024-06-06	Brazil	South America
PQ189432.1	2024-06-10	Brazil	South America
PQ189433.1	2024-06-12	Brazil	South America
PQ189434.1	2024-06-26	Brazil	South America
PQ197203.1	2024-06-07	Brazil	South America
PQ197395.1	2024-01-22	Brazil	South America
PQ197398.1	2024-04-12	Brazil	South America
PQ197401.1	2024-04-15	Brazil	South America
PQ197404.1	2024-04-22	Brazil	South America
PQ197407.1	2024-03-24	Brazil	South America
PQ197410.1	2024-04-17	Brazil	South America
PQ197413.1	2024-04-17	Brazil	South America
PQ199992.1	2024-04-17	Brazil	South America
PQ200001.1	2024-04-18	Brazil	South America
PQ200004.1	2024-04-23	Brazil	South America
PQ200022.1	2024-04-30	Brazil	South America
PQ200025.1	2024-04-30	Brazil	South America
PQ200028.1	2024-04-30	Brazil	South America
PQ200037.1	2024-05-02	Brazil	South America
PQ200052.1	2024-05-08	Brazil	South America
PQ200064.1	2024-05-10	Brazil	South America
PQ200109.1	2024-05-20	Brazil	South America
PQ200124.1	2024-05-27	Brazil	South America
PQ200160.1	2024-06-14	Brazil	South America
PQ200166.1	2024-06-17	Brazil	South America
PQ200205.1	2024-07-04	Brazil	South America
PQ295362.1	2024-03-24	Brazil	South America
PQ295365.1	2024-04-02	Brazil	South America
PQ295368.1	2024-04-02	Brazil	South America
PQ295371.1	2024-04-18	Brazil	South America
PQ295374.1	2024-04-18	Brazil	South America
PQ363069.1	2024-08-13	Italy	Europe
PQ381562.1	2024-05-20	Brazil	South America
PQ381563.1	2024-05-28	Brazil	South America
PQ381564.1	2024-05-23	Brazil	South America
PQ381565.1	2024-05-23	Brazil	South America
PQ381566.1	2024-06-15	Brazil	South America
PQ381567.1	2024-07-03	Brazil	South America
PQ381568.1	2024-07-03	Brazil	South America
PQ381569.1	2024-07-02	Brazil	South America
PQ381570.1	2024-07-02	Brazil	South America
PQ381571.1	2024-07-04	Brazil	South America
PQ381572.1	2024-07-01	Brazil	South America
PQ381573.1	2024-07-01	Brazil	South America
PQ381574.1	2024-07-01	Brazil	South America
PQ381575.1	2024-07-09	Brazil	South America
PQ381576.1	2024-07-10	Brazil	South America
PQ381577.1	2024-07-19	Brazil	South America
PQ381578.1	2024-07-22	Brazil	South America
PQ381579.1	2024-07-26	Brazil	South America
PQ381580.1	2024-07-26	Brazil	South America
PQ381581.1	2024-07-29	Brazil	South America
PQ381582.1	2024-07-30	Brazil	South America
PQ381583.1	2024-07-30	Brazil	South America
PQ417949.1	2024-07-13	Cuba	North America
PQ458662.1	2024-07-04	Brazil	South America
PQ458663.1	2024-06-27	Brazil	South America
PQ458664.1	2024-07-05	Brazil	South America
PQ458665.1	2024-07-01	Brazil	South America
PQ458666.1	2024-06-14	Brazil	South America
PQ458667.1	2024-07-02	Brazil	South America
PQ458668.1	2024-07-04	Brazil	South America
PQ458669.1	2024-06-19	Brazil	South America
PQ458670.1	2024-06-13	Brazil	South America
PQ458671.1	2024-06-13	Brazil	South America
PQ458672.1	2024-07-01	Brazil	South America
PQ458673.1	2024-06-18	Brazil	South America
PQ458674.1	2024-07-02	Brazil	South America
PQ458675.1	2024-06-19	Brazil	South America
PQ458676.1	2024-07-09	Brazil	South America
PQ458677.1	2024-07-03	Brazil	South America
PQ458678.1	2024-07-10	Brazil	South America
PQ458679.1	2024-07-01	Brazil	South America
PQ458680.1	2024-06-20	Brazil	South America
PQ458681.1	2024-06-18	Brazil	South America
PQ458682.1	2024-06-26	Brazil	South America
PQ458683.1	2024-06-18	Brazil	South America
PQ458684.1	2024-07-09	Brazil	South America
PQ458685.1	2024-06-20	Brazil	South America
PQ458686.1	2024-06-28	Brazil	South America
PQ458687.1	2024-07-12	Brazil	South America
PQ458688.1	2024-06-19	Brazil	South America
PQ458689.1	2024-06-30	Brazil	South America
PQ530049.1	2024-06-06	Spain	Europe
PQ537325.1	2024-03-24	Brazil	South America
PQ537326.1	2024-04-02	Brazil	South America
PQ537327.1	2024-04-18	Brazil	South America
PQ537328.1	2024-04-18	Brazil	South America
PQ550996.1	2024-05-11	Brazil	South America
PQ554039.1	2024-05-10	Brazil	South America
PQ554042.1	2024-05-09	Brazil	South America
PQ554048.1	2024-05-09	Brazil	South America
PQ554051.1	2024-05-10	Brazil	South America
PQ554063.1	2024-05-15	Brazil	South America
PQ554081.1	2024-05-20	Brazil	South America
PQ554099.1	2024-05-24	Brazil	South America
PQ554111.1	2024-05-27	Brazil	South America
PQ554138.1	2024-06-05	Brazil	South America
PQ554159.1	2024-06-10	Brazil	South America
PQ554330.1	2024-08-28	Brazil	South America
PQ559598.1	2024-06-24	Brazil	South America
PQ559599.1	2024-07-31	Brazil	South America
PQ559600.1	2024-06-19	Brazil	South America
PQ559601.1	2024-06-27	Brazil	South America
PQ559602.1	2024-06-30	Brazil	South America
PQ559603.1	2024-06-26	Brazil	South America
PQ559604.1	2024-06-20	Brazil	South America
PQ559605.1	2024-06-19	Brazil	South America
PQ559606.1	2024-07-16	Brazil	South America
PQ559607.1	2024-07-24	Brazil	South America
PQ559608.1	2024-07-02	Brazil	South America
PQ559609.1	2024-07-21	Brazil	South America
PQ559610.1	2024-07-18	Brazil	South America
PQ559611.1	2024-06-14	Brazil	South America
PQ559612.1	2024-07-09	Brazil	South America
PQ634502.1	2024-03-07	Bolivia	South America
PQ634503.1	2024-02-01	Bolivia	South America
PQ634504.1	2024-03-27	Bolivia	South America
PQ634505.1	2024-05-17	Bolivia	South America
PQ634506.1	2024-03-18	Bolivia	South America
PQ634507.1	2024-02-15	Bolivia	South America
PQ634508.1	2024-02-07	Bolivia	South America
PQ634509.1	2024-01-19	Bolivia	South America
PQ634510.1	2024-01-29	Bolivia	South America
PQ634511.1	2024-02-29	Bolivia	South America
PQ634512.1	2024-04-01	Bolivia	South America
PQ634513.1	2024-04-06	Bolivia	South America
PQ634514.1	2024-04-12	Bolivia	South America
PQ634515.1	2024-05-02	Bolivia	South America
PQ634516.1	2024-03-19	Bolivia	South America
PQ634517.1	2024-03-21	Bolivia	South America
PQ634518.1	2024-03-25	Bolivia	South America
PQ634519.1	2024-03-27	Bolivia	South America
PQ634520.1	2024-03-01	Bolivia	South America
PQ634521.1	2024-04-09	Bolivia	South America
PQ634522.1	2024-04-12	Bolivia	South America
PQ634523.1	2024-04-14	Bolivia	South America
PQ634524.1	2024-04-10	Bolivia	South America
PQ634525.1	2024-04-10	Bolivia	South America
PQ634526.1	2024-04-12	Bolivia	South America
PQ634527.1	2024-04-16	Bolivia	South America
PQ634528.1	2024-04-11	Bolivia	South America
PQ634529.1	2024-04-15	Bolivia	South America
PQ634530.1	2024-04-06	Bolivia	South America
PQ634531.1	2024-04-15	Bolivia	South America
PQ634532.1	2024-04-16	Bolivia	South America
PQ634533.1	2024-04-22	Bolivia	South America
PQ634534.1	2024-03-29	Bolivia	South America
PQ634535.1	2024-01-26	Bolivia	South America
PQ683507.1		Peru	South America
PQ683510.1		Peru	South America
PQ683513.1		Peru	South America
PQ754512.1	2024-09-04	Brazil	South America
PQ754530.1	2024-09-16	Brazil	South America
PQ754563.1	2024-09-30	Brazil	South America
PQ754572.1	2024-10-02	Brazil	South America
PQ754575.1	2024-10-03	Brazil	South America
PQ754605.1	2024-10-09	Brazil	South America
PQ754665.1	2024-10-22	Brazil	South America
PQ754671.1	2024-10-23	Brazil	South America
PQ754686.1	2024-10-25	Brazil	South America
PQ754692.1	2024-10-25	Brazil	South America
PQ754695.1	2024-10-29	Brazil	South America
PQ754716.1	2024-11-04	Brazil	South America
PQ754731.1	2024-11-05	Brazil	South America
PQ754734.1	2024-11-05	Brazil	South America
PQ754743.1	2024-11-06	Brazil	South America
PQ754749.1	2024-11-06	Brazil	South America
PQ754752.1	2024-11-05	Brazil	South America
PQ754758.1	2024-11-06	Brazil	South America
PQ754767.1	2024-11-06	Brazil	South America
PQ754785.1	2024-11-08	Brazil	South America
PQ801465.1	1991	Brazil	South America
PV254768.1	2024-07-19	Brazil	South America
PV254769.1	2024-07-23	Brazil	South America
PV254770.1	2024-07-23	Brazil	South America
PV254771.1	2024-07-23	Brazil	South America
PV254772.1	2024-07-23	Brazil	South America
PV254773.1	2024-07-11	Brazil	South America
PV254774.1	2024-07-13	Brazil	South America
PV254775.1	2024-07-12	Brazil	South America
PV254776.1	2024-07-13	Brazil	South America
PV254777.1	2024-07-10	Brazil	South America
PV254778.1	2024-07-12	Brazil	South America
PV254779.1	2024-07-15	Brazil	South America
PV254780.1	2024-07-15	Brazil	South America
PV254781.1	2024-07-15	Brazil	South America
PV254782.1	2024-07-15	Brazil	South America
PV254783.1	2024-07-17	Brazil	South America
PV254784.1	2024-07-24	Brazil	South America
PV254785.1	2024-07-24	Brazil	South America
PV254786.1	2024-07-25	Brazil	South America
PV254787.1	2024-07-25	Brazil	South America
PV254788.1	2024-07-27	Brazil	South America
PV254789.1	2024-07-25	Brazil	South America
PV254790.1	2024-07-25	Brazil	South America
PV254791.1	2024-07-25	Brazil	South America
PV254792.1	2024-07-12	Brazil	South America
PV254793.1	2024-07-13	Brazil	South America
PV254794.1	2024-07-15	Brazil	South America
PV254795.1	2024-07-15	Brazil	South America
PV254796.1	2024-07-24	Brazil	South America
PV254797.1	2024-08-13	Brazil	South America
PV254798.1	2024-08-08	Brazil	South America
PV254799.1	2024-07-30	Brazil	South America
PV254800.1	2024-08-15	Brazil	South America
PV254801.1	2024-08-02	Brazil	South America
PV254802.1	2024-08-11	Brazil	South America
PV254803.1	2024-08-12	Brazil	South America
PV254804.1	2024-07-25	Brazil	South America
PV419642.1	2024-02-22	Peru	South America
PV419645.1	2024-02-22	Peru	South America
PV419648.1	2024-01-25	Peru	South America
PV419651.1	2024-02-02	Peru	South America
PV419654.1	2024-02-06	Peru	South America
PV419657.1	2024-07-31	Peru	South America
PV419660.1	2024-07-10	Peru	South America
